week,openrouter_author,revenue,market_share
2024-05-20,codellama,0.0,
2024-05-20,cognitivecomputations,0.0,
2024-05-20,cohere,0.0,
2024-05-20,databricks,0.0,
2024-05-20,deepseek,0.0,
2024-05-20,fireworks,0.0,
2024-05-20,google,0.0,
2024-05-20,gryphe,0.0,
2024-05-20,huggingfaceh4,0.0,
2024-05-20,intel,0.0,
2024-05-20,jebcarter,0.0,
2024-05-20,jondurbin,0.0,
2024-05-20,koboldai,0.0,
2024-05-20,liuhaotian,0.0,
2024-05-20,lizpreciatior,0.0,
2024-05-20,lynn,0.0,
2024-05-20,mancer,0.0,
2024-05-20,meta-llama,0.0,
2024-05-20,microsoft,0.0,
2024-05-20,mistralai,0.0,
2024-05-20,neversleep,0.0,
2024-05-20,nousresearch,0.0,
2024-05-20,open-orca,0.0,
2024-05-20,openai,0.0,
2024-05-20,openchat,0.0,
2024-05-20,openrouter,0.0,
2024-05-20,perplexity,0.0,
2024-05-20,phind,0.0,
2024-05-20,pygmalionai,0.0,
2024-05-20,qwen,0.0,
2024-05-20,recursal,0.0,
2024-05-20,rwkv,0.0,
2024-05-20,sao10k,0.0,
2024-05-20,snowflake,0.0,
2024-05-20,sophosympatheia,0.0,
2024-05-20,teknium,0.0,
2024-05-20,togethercomputer,0.0,
2024-05-20,undi95,0.0,
2024-05-20,xwin-lm,0.0,
2024-09-16,01-ai,0.0,
2024-09-16,alpindale,0.0,
2024-09-16,anthropic,0.0,
2024-09-16,austism,0.0,
2024-09-16,codellama,0.0,
2024-09-16,cognitivecomputations,0.0,
2024-09-16,google,0.0,
2024-09-16,gryphe,0.0,
2024-09-16,haotian-liu,0.0,
2024-09-16,huggingfaceh4,0.0,
2024-09-16,intel,0.0,
2024-09-16,jebcarter,0.0,
2024-09-16,jondurbin,0.0,
2024-09-16,koboldai,0.0,
2024-09-16,lizpreciatior,0.0,
2024-09-16,mancer,0.0,
2024-09-16,meta-llama,0.0,
2024-09-16,migtissera,0.0,
2024-09-16,mistralai,0.0,
2024-09-16,neversleep,0.0,
2024-09-16,nousresearch,0.0,
2024-09-16,open-orca,0.0,
2024-09-16,openai,0.0,
2024-09-16,openchat,0.0,
2024-09-16,openrouter,0.0,
2024-09-16,perplexity,0.0,
2024-09-16,phind,0.0,
2024-09-16,pygmalionai,0.0,
2024-09-16,recursal,0.0,
2024-09-16,rwkv,0.0,
2024-09-16,teknium,0.0,
2024-09-16,togethercomputer,0.0,
2024-09-16,undi95,0.0,
2024-09-16,xwin-lm,0.0,
2024-11-04,anthropic,209519.41327710001,0.8195261190378217
2024-11-04,openai,24520.02045565,0.09590899902039368
2024-11-04,meta-llama,5457.768404338999,0.0213478249535746
2024-11-04,mistralai,2831.1298156,0.011073841769508822
2024-11-04,google,2649.4576705825,0.010363239035305097
2024-11-04,cohere,2336.8979614025,0.009140675257441213
2024-11-04,nousresearch,1656.4308263624998,0.006479057502839245
2024-11-04,microsoft,1468.791801755,0.005745115577308692
2024-11-04,x-ai,689.2476300000001,0.002695962280702196
2024-11-04,qwen,651.5525336380001,0.0025485195423653427
2024-11-04,anthracite-org,535.902202125,0.0020961582748920647
2024-11-04,gryphe,530.062278365,0.0020733156658008494
2024-11-04,nvidia,502.41943134999997,0.001965191865819613
2024-11-04,alpindale,467.452254375,0.001828419266126759
2024-11-04,sao10k,396.2715894,0.0015499991750951801
2024-11-04,undi95,264.47646011499995,0.0010344882297291013
2024-11-04,neversleep,227.38754400000002,0.000889416539198707
2024-11-04,cognitivecomputations,208.9113053,0.0008171475309984899
2024-11-04,perplexity,197.9649578,0.0007743313664054267
2024-11-04,thedrummer,193.14891075,0.0007554936067617887
2024-11-04,deepseek,107.74943480000002,0.000421457251855593
2024-11-04,pygmalionai,59.01237225,0.0002308243405650259
2024-11-04,ai21,42.4731349,0.00016613182933044836
2024-11-04,aetherwiing,20.424833999999997,7.989085439960634e-05
2024-11-04,nothingiisreal,18.8949405,7.390674217350923e-05
2024-11-04,openchat,18.308193475000003,7.161170657401908e-05
2024-11-04,lizpreciatior,15.202822699999999,5.946518315834196e-05
2024-11-04,inflection,13.823617500000001,5.407048169734699e-05
2024-11-04,eva-unit-01,12.33132175,4.8233431443503974e-05
2024-11-04,mancer,12.068070375000001,4.7203735081192234e-05
